t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.330030,1020.103760,56.400002,0, -0.052642,-10.030712,-0.071785, 0.025568,0.000533,0.011719, 0.000000,1.000000,0.000000,0.000000, -0.052642,0.224712,0.071785, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.340030,1020.103760,56.400002,0, -0.052642,-9.982856,-0.019143, 0.027433,-0.002663,0.013583, 0.000000,1.000000,0.000000,0.000000, -0.052642,0.176856,0.019143, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.350032,1020.103760,56.400002,0, -0.071785,-10.001998,-0.086142, 0.022905,-0.003196,0.011719, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.195998,0.086142, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.360034,1020.103760,56.400002,0, -0.052642,-10.021141,-0.057428, 0.025036,-0.003196,0.014649, 0.000000,1.000000,0.000000,0.000000, -0.052642,0.215141,0.057428, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.370034,1020.103760,56.400002,0, -0.114855,-9.973285,-0.047856, 0.023704,0.001332,0.010653, 0.000000,1.000000,0.000000,0.000000, -0.114855,0.167285,0.047856, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.380034,1020.074463,56.406250,0, -0.119641,-9.987642,-0.157926, 0.021307,0.000799,0.008789, 0.000000,1.000000,0.000000,0.000000, -0.119641,0.181643,0.157926, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.390034,1020.074463,56.406250,0, -0.090927,-10.006784,-0.133998, 0.025568,0.000799,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.090927,0.200785,0.133998, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.400035,1020.074463,56.406250,0, -0.143569,-10.021141,-0.090927, 0.025835,-0.000799,0.008789, 0.000000,1.000000,0.000000,0.000000, -0.143569,0.215141,0.090927, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.410035,1020.074463,56.406250,0, -0.110070,-9.982856,-0.105284, 0.026101,-0.003995,0.007457, 0.000000,1.000000,0.000000,0.000000, -0.110070,0.176856,0.105284, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.420036,1020.125732,56.402084,0, -0.071785,-9.987642,-0.157926, 0.022905,-0.001598,0.012518, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.181643,0.157926, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.430036,1020.125732,56.402084,0, -0.090927,-10.021141,-0.210568, 0.022905,0.001065,0.010653, 0.000000,1.000000,0.000000,0.000000, -0.090927,0.215141,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.440036,1020.125732,56.402084,0, -0.100499,-10.001998,-0.234497, 0.023704,0.000000,0.007724, 0.000000,1.000000,0.000000,0.000000, -0.100499,0.195998,0.234497, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.450286,1020.125732,56.402084,0, -0.090927,-9.934999,-0.258425, 0.023171,-0.003995,0.011985, 0.000000,1.000000,0.000000,0.000000, -0.090927,0.129000,0.258425, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.460287,1020.092285,56.402084,0, -0.095713,-10.025927,-0.177069, 0.018111,0.001598,0.004528, 0.000000,1.000000,0.000000,0.000000, -0.095713,0.219927,0.177069, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.470289,1020.092285,56.402084,0, -0.105284,-10.001998,-0.224925, 0.022905,-0.002131,0.006126, 0.000000,1.000000,0.000000,0.000000, -0.105284,0.195998,0.224925, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.480289,1020.092285,56.402084,0, -0.038285,-9.987642,-0.277567, 0.021840,-0.004261,0.007457, 0.000000,1.000000,0.000000,0.000000, -0.038285,0.181643,0.277567, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.490289,1020.092285,56.402084,0, -0.047856,-9.982856,-0.301496, 0.027166,0.003729,0.005859, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.176856,0.301496, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.500291,1020.119873,56.406250,0, -0.023928,-10.016355,-0.234497, 0.027433,0.001065,0.010387, 0.000000,1.000000,0.000000,0.000000, -0.023928,0.210355,0.234497, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.510293,1020.119873,56.406250,0, -0.124427,-10.035498,-0.244068, 0.030362,-0.005060,0.007724, 0.000000,1.000000,0.000000,0.000000, -0.124427,0.229498,0.244068, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.520293,1020.119873,56.406250,0, -0.066999,-10.001998,-0.210568, 0.027965,-0.002131,0.007457, 0.000000,1.000000,0.000000,0.000000, -0.066999,0.195998,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.530293,1020.119873,56.406250,0, -0.043071,-10.035498,-0.153141, 0.031161,-0.001332,0.011186, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.229498,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.540294,1020.093262,56.402084,0, 0.019143,-10.030712,-0.191426, 0.031960,-0.003462,0.006658, 0.000000,1.000000,0.000000,0.000000, 0.019143,0.224712,0.191426, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.550295,1020.087891,56.402084,0, -0.105284,-10.021141,-0.124427, 0.026634,-0.000266,0.007457, 0.000000,1.000000,0.000000,0.000000, -0.105284,0.215141,0.124427, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.560295,1020.113281,56.408333,0, -0.071785,-9.973285,-0.057428, 0.026900,-0.001598,0.006392, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.167285,0.057428, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.570295,1020.113281,56.408333,0, -0.105284,-9.992427,-0.095713, 0.031694,-0.001065,0.007191, 0.000000,1.000000,0.000000,0.000000, -0.105284,0.186427,0.095713, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
